,topic,period
11733474,12,1
11734423,0,1
11734798,8,1
11735602,17,1
11735603,12,1
11735605,17,1
11737367,0,1
11737401,0,1
11737406,18,1
11737410,0,1
11741629,15,1
11748772,8,1
11750326,0,1
11750327,0,1
11750328,0,1
11750329,0,1
11750331,0,1
11750332,0,1
11750335,0,1
11750336,0,1
11750337,0,1
11750338,0,1
11750339,0,1
11750340,0,1
11750341,0,1
11750342,0,1
11750343,0,1
11750344,0,1
11750345,0,1
11750347,0,1
11750348,0,1
11750349,0,1
11750350,0,1
11750352,0,1
11750418,0,1
11750420,0,1
11750532,0,1
11754409,13,1
11758079,0,1
11758265,17,1
11758628,8,1
11758844,17,1
11759128,13,1
11761537,0,1
11761538,0,1
11762273,11,1
11764100,3,1
11764275,0,1
11764475,0,1
11765685,14,1
11767759,0,1
11768013,18,1
11768905,0,1
11770833,15,1
11771598,18,1
11772144,15,1
11772147,0,1
11774754,0,1
11779723,13,1
11779724,9,1
11787104,0,1
11787234,17,1
11789100,8,1
11789108,0,1
11792385,3,1
11792390,3,1
11792397,10,1
11794894,8,1
11795179,11,1
11795409,17,1
11795947,3,1
11799345,2,1
11799520,0,1
11799582,1,1
11800206,0,1
11802090,14,1
11802091,12,1
11802092,5,1
11802094,5,1
11802096,12,1
11802099,12,1
11802104,14,1
11802111,0,1
11805714,0,1
11805715,18,1
11805716,0,1
11805718,17,1
11805720,1,1
11805721,1,1
11805724,8,1
11805725,0,1
11805726,17,1
11805729,17,1
11805732,10,1
11805734,10,1
11805738,0,1
11805742,0,1
11806436,11,1
11806438,11,1
11806485,13,1
11806486,5,1
11806488,7,1
11806663,17,1
11811421,10,1
11813471,0,1
11816166,0,1
11816473,3,1
11817390,8,1
11817524,9,1
11818262,7,1
11820293,10,1
11824327,1,1
11826183,0,1
11826240,0,1
11828479,0,1
11829197,0,1
11830866,0,1
11832697,17,1
11833485,12,1
11833633,8,1
11836837,7,1
11836838,7,1
11838043,0,1
11838409,14,1
11838680,10,1
11838842,4,1
11842691,0,1
11843723,13,1
11846338,9,1
11849223,11,1
11850005,0,1
11850866,3,1
11851648,0,1
11851758,0,1
11851783,7,1
11852493,8,1
11852962,8,1
11854887,0,1
11854972,6,1
11854973,0,1
11855239,11,1
11855336,0,1
11858436,0,1
11860529,17,1
11860744,10,1
11861442,1,1
11867924,15,1
11870893,10,1
11871314,14,1
11874214,0,1
11874222,0,1
11876169,0,1
11876215,0,1
11876339,0,1
11876509,12,1
11878255,0,1
11878403,14,1
11878487,0,1
11878492,0,1
11879213,18,1
11882043,6,1
11883384,12,1
11884326,0,1
11884971,8,1
11887267,7,1
11888040,0,1
11888721,8,1
11889348,5,1
11895804,5,1
11897968,10,1
11897971,16,1
11897972,10,1
11897974,10,1
11897975,10,1
11897976,10,1
11897978,12,1
11898232,0,1
11898751,6,1
11899363,3,1
11899365,0,1
11899647,0,1
11899652,0,1
11899654,15,1
11902325,17,1
11907637,16,1
11907661,18,1
11907667,18,1
11908757,6,1
11910821,0,1
11913671,7,1
11913677,5,1
11913682,2,1
11914777,6,1
11917818,0,1
11917821,8,1
11918502,0,1
11918563,0,1
11921831,0,1
11923681,0,1
11923699,1,1
11923712,0,1
11924111,5,1
11929382,16,1
11929754,2,1
11933522,0,1
11935633,0,1
11935654,8,1
11936740,8,1
11938577,15,1
11942998,8,1
11943558,9,1
11949001,0,1
11951242,7,1
11952020,1,1
11953523,0,1
11954292,0,1
11954484,0,1
11957503,0,1
11960153,18,1
11960341,0,1
11962982,7,1
11964901,14,1
11968775,14,1
11968839,10,1
11971492,8,1
11973867,0,1
11973926,0,1
11974021,6,1
11974295,0,1
11974758,0,1
11977679,0,1
11978169,13,1
11978172,17,1
11978219,0,1
11978502,17,1
11981432,1,1
11982160,0,1
11984324,7,1
11985692,8,1
11989005,0,1
11991307,15,1
11991890,0,1
11992243,11,1
11992681,18,1
11995777,18,1
11998066,7,1
11998151,0,1
11998240,8,1
11998539,8,1
11998541,5,1
12001036,8,1
12001073,0,1
